"Año";"Periodo";"Parámetro";"Sanciones"
"2020";"Año";"Álava";"14"
"2020";"Año";"Albacete";"6087"
"2020";"Año";"Alicante";"41235"
"2020";"Año";"Almería";"23900"
"2020";"Año";"Asturias";"11735"
"2020";"Año";"Ávila";"3122"
"2020";"Año";"Badajoz";"13373"
"2020";"Año";"Islas Baleares";"18493"
"2020";"Año";"Barcelona";"2557"
"2020";"Año";"Burgos";"6137"
"2020";"Año";"Cáceres";"5925"
"2020";"Año";"Cádiz";"27916"
"2020";"Año";"Cantabria";"8301"
"2020";"Año";"Castellón";"10469"
"2020";"Año";"Ceuta";"9048"
"2020";"Año";"Ciudad Real";"9914"
"2020";"Año";"Córdoba";"13419"
"2020";"Año";"La Coruña";"11213"
"2020";"Año";"Cuenca";"3405"
"2020";"Año";"Gerona";"497"
"2020";"Año";"Granada";"18210"
"2020";"Año";"Guadalajara";"3971"
"2020";"Año";"Guipúzcoa";"24"
"2020";"Año";"Huelva";"11913"
"2020";"Año";"Huesca";"5851"
"2020";"Año";"Jaén";"11437"
"2020";"Año";"Las Palmas";"23196"
"2020";"Año";"León";"5054"
"2020";"Año";"Lérida";"276"
"2020";"Año";"Lugo";"7206"
"2020";"Año";"Madrid";"75475"
"2020";"Año";"Málaga";"27793"
"2020";"Año";"Melilla";"2572"
"2020";"Año";"Murcia";"18401"
"2020";"Año";"Navarra";"6252"
"2020";"Año";"Orense";"6086"
"2020";"Año";"Palencia";"2314"
"2020";"Año";"Pontevedra";"12139"
"2020";"Año";"La Rioja";"6707"
"2020";"Año";"Salamanca";"5300"
"2020";"Año";"Segovia";"2678"
"2020";"Año";"Sevilla";"25030"
"2020";"Año";"Soria";"1646"
"2020";"Año";"Santa Cruz de Tenerife";"14784"
"2020";"Año";"Tarragona";"1135"
"2020";"Año";"Teruel";"2419"
"2020";"Año";"Toledo";"11709"
"2020";"Año";"Valencia";"51041"
"2020";"Año";"Valladolid";"5974"
"2020";"Año";"Vizcaya";"142"
"2020";"Año";"Zamora";"3849"
"2020";"Año";"Zaragoza";"14863"
