"","country","iso2c","iso3c","year","status","lastupdated","birth","infmort","net","lifeexp","forest","mobile","pop","tour","import","export","region","capital","longitude","latitude","income","lending","lng","lat"
"1","Afghanistan","AF","AFG",2016,"","2023-09-19",37.936,51.1,11,63.136,1.85278199408184,62.37109623,34636207,6.2e+07,84.6077200543,104.3839308258,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"2","Afghanistan","AF","AFG",2018,"","2023-09-19",36.927,47.8,16.8,63.081,1.85278199408184,59.90264778,36686784,5e+07,95.9035280293,153.1663181047,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"3","Afghanistan","AF","AFG",2014,"","2023-09-19",39.105,55,7,62.545,1.85278199408184,56.26314295,32716210,1.21e+08,100.0816250227,99.8300692119,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"4","Afghanistan","AF","AFG",2017,"","2023-09-19",37.342,49.4,13.5,63.016,1.85278199408184,67.13641492,35643418,1.6e+07,91.4815939352,126.5302193594,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"5","Afghanistan","AF","AFG",2005,"","2023-09-19",45.263,77.4,1.224148084,58.361,1.85278199408184,4.915778177,24411191,NA,31.992531265,67.20277212,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"6","Afghanistan","AF","AFG",2006,"","2023-09-19",44.721,74.7,2.107123645,58.684,1.85278199408184,9.905952707,25442944,NA,35.5333156835,72.803003128,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"7","Afghanistan","AF","AFG",2015,"","2023-09-19",38.803,53,8.26,62.659,1.85278199408184,58.39109599,33753499,8.6e+07,100,100,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"8","Afghanistan","AF","AFG",2004,"","2023-09-19",46.33,80.1,0.10580903,57.944,1.85278199408184,2.547386592,23553551,NA,28.1890205185,53.3772018025,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"9","Afghanistan","AF","AFG",2009,"","2023-09-19",41.157,66.8,3.55,60.364,1.85278199408184,38.34172829,27385307,8.9e+07,43.2020370598,70.6050874643,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"10","Afghanistan","AF","AFG",2012,"","2023-09-19",40.009,59.4,5.454545455,61.923,1.85278199408184,50.35079702,30466479,1.67e+08,117.430513149,75.0611212622,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
